qid,text,options,correct
1,"Theo Các Mác và Ph.Ăngghen, khi thực hiện cách mạng xã hội chủ nghĩa xóa bỏ được tình trạng người bóc lột người, giai cấp này bóc lột giai cấp khác thì có thể tiến triển tới xóa bỏ tình trạng nào?

","A. Xóa bỏ được tôn giáo
B Xoá bỏ tình trang dân tộc này bóc lột dân tộc khác
C. Xóa bỏ tệ nạn xã hội
D Xoa bộ sự tồn tại của chế độ sở hữu tư nhân về công cụ lao động",B
2," Thời kỳ quá độ lên chủ nghĩa xã hội là thời kỳ đấu tranh giai cấp trong điều kiện mới điều kiện đó là gì?

","A. Đảng Cộng sản đã được thành lập, và ngày càng thể hiện vai trò đạo tích cực trong phong trào đấu tranh giành chính quyền
B. Giai cấp công nhân và nhân dân lao động đã trở thành giai cấp cầm quyền
C. Giai cấp tư sản đã trở thành lực lượng phản động
D. Sự phát triển của công nghiệp hóa dẫn đến thất nghiệp tràn lan",B
3,"Phong trào công nhân ở Việt Nam vào thế kỉ XX cho thấy đặc trưng của giai cấp công nhân Việt Nam khác với giai cấp công nhân các nước tư bản như thế nào?
","A. Giai cấp công nhân Việt Nam chưa hăng hái trong các phong trào đấu tranh như công nhân các nước tư bản chủ nghĩa
B. Mâu thuẫn giữa giai cấp công nhân Việt Nam và giai cấp tư sản trong giai đoạn này chưa gay gắt như các nước tư bản chủ nghĩa
C. Giai cấp công nhân Việt Nam thế hiện đặc tính cách mạng về ý thức giai cấp và cả về ý thức dân tộc
D. Giai cấp công nhân Việt Nam khi ra đời chưa có sự lãnh đạo kịp thời của Đảng Cộng sản như các nước tư bản chủ nghĩa",C
4,"Về nội dung chính trị- xã hội, sứ mệnh lịch sử của giai cấp công nhân được thể hiện như thế nào?

","A. Giai cấp công nhân phải cùng với nhân dân lao động lãnh đạo Đảng Cộng sản tiến hành cách mạng chính trị lật đổ chính quyền của giai cấp phong kiến
B. Giai cấp công nhân phải lãnh đạo được các giai cấp khác và lãnh đạo được Đảng Cộng sản để tiến hành cách mạng tư sản xóa bỏ chế độ thống trị của giai cấp tư sản
C. Giai cấp công nhân phải cùng với nhân dân lao động dưới sự lãnh đạo của Đảng Cộng sản phải tiến hành cách mạng chính trị lật đổ quyền thống trị của giai cấp tư sản.
D. Giai cấp công nhân phải xác lập được quyền thống trị của nhân dân lao động và các giai cấp khác bằng cách thực hiện cách mạng lật đổ chính quyền giai cấp tư sản",C
5,"Sau khi lật đổ được sự thống trị của giai cấp thống trị, sứ mệnh lịch sử của giai cấp công nhân được tiếp tục thực hiện như thế nào?

","A. Thực hiện quyền lực, quyền làm chủ tuyệt đại đa số nhân dân lao động
B. Thiết lập nhà nước kiểu mới, mang bản chất giai cấp công nhân
C. Xây dựng nền dân chủ xã hội chủ nghĩa
D. Tất cả các đáp án đều đúng",D
6,"Về nội dung văn hóa, tư tưởng, sứ mệnh lịch sử của giai cấp công nhân được thể hiện như thế nào?
","A. Giai cấp công nhân thực hiện xây dựng và củng cố ý thức hệ tiên tiến của mình.
B. Giai cấp công nhân thực hiện xây dựng đạo đức và lối sống mới xã hội chủ nghĩa
C. Tất cả các đáp án đều đúng
D. Giai cấp công nhân thực hiện xây dựng con người mới xã hội chủ nghĩa",C
7,"Tại sao trong bất kì xã hội nào, muốn tiến lên chủ nghĩa xã hội đều tất yếu phải trải qua thời kỳ quá độ?

","A. Vì chủ nghĩa xã hội có bản chất đối lập với các chế độ bóc lột trước đó, giai cấp vô sản cần có thời gian để cải tạo xã hội cũ, xây dựng xã hội mới
B. Vì chủ nghĩa xã hội là giai đoạn đầu của hình thái kinh tế-xã hội cộng sản chủ nghĩa
C. Vì chủ nghĩa xã hội thực hiện sự thống trị của giai cấp, tầng lớp nghèo nàn trong xã hội
D. Vì chủ nghĩa xã hội là thực hiện ý chí chủ quan của giai cấp công nhân và nhân dân lao động",A
8,"Ngày nay, giai cấp công nhân VN đã có biến đổi như thế nào so với thời kỳ mới ra đời?

","A. Tăng nhanh về số lượng và chất lượng, đi đầu trong sự nghiệp công nghiệp hóa, hiện đại hóa
B. Công nhân tri thức nắm vững khoa học-công nghệ tiên tiến
C. Tất cả các đáp án đều đúng
D. Đa dạng về cơ cấu nghề nghiệp, có mặt trong mọi thành phần kinh tế",C
9,"Ở VN hiện nay, tổ chức nào đại diện cho quyền lợi, lợi ích hợp pháp và là nơi để giai cấp công nhân chủ động, tích cực tham gia xây dựng, chỉnh đốn Đảng?

","A. Hệ thống tổ chức Công đoàn
B. Quốc hội
C. Mặt trận Tổ quốc VN
D. Hội đồng nhân dân các cấp",A
10,"Trong sứ mệnh lịch sử của giai cấp công nhân trên lĩnh vực văn hóa-tư tưởng, hệ giá trị mới mà giai cấp công nhân cần tập trung xây dựng là gì?

","A. Lao động, công bằng, dân chủ, bình đẳng và tự do
B. Độc lập, tự do, dân chủ, văn minh
C. Dân giàu, nước mạnh, công bằng, dân chủ và văn minh
D. Tự do, bình đẳng, bác ái",A
11,"Đâu không phải là một trong những điều kiện kinh tế-xã hội cho sự ra đời của chủ nghĩa xã hội khoa học?

","A. Sự ra đời của hai giai cấp: giai cấp tư bản và giai cấp vô sản
B. Sự ra đời của nền đại công nghiệp
C. Các thành tựu khoa học tự nhiên của nhân loại thế kỉ XIX
D. Phong trào đấu tranh của các giai cấp vô sản chống lại sự thống trị áp bức của giai cấp tư bản",C
12,"Về mặt lý thuyết, con đường cách mạng vô sản nào có thể tiến hành, nhưng vô cùng hiếm, quý và chưa từng xảy ra trên thực tế?

","A. Con đường bạo động lật đổ
B. Con đường bạo lực cách mạng
C. Con đường hòa bình
D. Con đường khởi nghĩa vũ trang",C
